HEAD
mght	16
eps	2.2
R	500.8
T	308
Z	0.9
p_title	121
fnom	5300
Ppred	12.1
DATA
q	comp	kpd	f
155.84442	2.6911661	0.695	1.1
172.14944	2.6805654	0.788	1.1
191.49437	2.6522968	0.807	1.1
223.55169	2.5074205	0.824	1.1
263.07062	2.1929329	0.838	1.1
289.87718	1.8961131	0.794	1.1
149.48823	2.5038869	0.695	1.05
165.24053	2.5003534	0.788	1.05
185.96725	2.4614841	0.807	1.05
213.87922	2.3484099	0.824	1.05
250.35824	2.0586572	0.838	1.05
274.95394	1.7971731	0.794	1.05
142.02661	2.330742	0.695	1
157.2262	2.3201413	0.788	1
176.01842	2.2954064	0.807	1
203.9304	2.1823322	0.824	1
238.19857	1.9561837	0.838	1
261.68884	1.7123675	0.794	1
135.11771	2.1681979	0.695	0.95
150.59365	2.1646643	0.788	0.95
166.89867	2.1363958	0.807	0.95
193.98158	2.044523	0.824	0.95
226.31525	1.8466431	0.838	0.95
249.80553	1.634629	0.794	0.95
128.48516	2.019788	0.695	0.9
142.02661	2.0233216	0.788	0.9
157.50256	1.995053	0.807	0.9
183.7564	1.9173145	0.824	0.9
214.98465	1.7477032	0.838	0.9
235.71136	1.5674912	0.794	0.9
121.02354	1.8890459	0.695	0.85
134.01228	1.8925795	0.788	0.85
150.04094	1.8819788	0.807	0.85
172.42579	1.8113074	0.824	0.85
202.82497	1.6452297	0.838	0.85
222.99898	1.5003534	0.794	0.85
113.28557	1.7689046	0.695	0.8
126.55067	1.7689046	0.788	0.8
140.09212	1.7689046	0.807	0.8
162.47697	1.7017668	0.824	0.8
192.32344	1.5639576	0.838	0.8
209.18117	1.4367491	0.794	0.8
106.65302	1.6734982	0.695	0.75
120.19447	1.6770318	0.788	0.75
130.1433	1.6452297	0.807	0.75
152.52815	1.5957597	0.824	0.75
180.71648	1.4756184	0.838	0.75
195.91607	1.3837456	0.794	0.75
99.467758	1.5710247	0.695	0.7
111.07472	1.5745583	0.788	0.7
124.33982	1.560424	0.807	0.7
141.75026	1.5250883	0.824	0.7
167.17503	1.429682	0.838	0.7
184.03275	1.3342756	0.794	0.7
